datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2001-10-04,0.0,E,nc,2001-10-04T00:00:00,0,0,1,1
2001-10-05,0.0,E,nc,2001-10-05T00:00:00,0,0,1,1
2001-10-06,0.0,E,nc,2001-10-06T00:00:00,0,0,1,1
2001-10-07,0.0,E,nc,2001-10-07T00:00:00,0,0,1,1
2001-10-08,0.0,E,nc,2001-10-08T00:00:00,0,0,1,1
2001-10-09,0.0,E,nc,2001-10-09T00:00:00,0,0,1,1
2001-10-10,0.0,V,nc,2001-10-10T00:00:00,0,0,1,1
2001-10-11,0.0,V,nc,2001-10-11T00:00:00,0,0,1,1
2001-10-12,0.0,V,nc,2001-10-12T00:00:00,0,0,1,1
2001-10-13,0.0,V,nc,2001-10-13T00:00:00,0,0,1,1
2001-10-14,0.0,V,nc,2001-10-14T00:00:00,0,0,1,1
2001-10-15,0.0,V,nc,2001-10-15T00:00:00,0,0,1,1
2001-10-16,0.0,V,nc,2001-10-16T00:00:00,0,0,1,1
2001-10-17,0.0,V,nc,2001-10-17T00:00:00,0,0,1,1
2001-10-18,0.0,V,nc,2001-10-18T00:00:00,0,0,1,1
2001-10-19,0.0,V,nc,2001-10-19T00:00:00,0,0,1,1
2001-10-20,0.0,V,nc,2001-10-20T00:00:00,0,0,1,1
2001-10-21,0.0,V,nc,2001-10-21T00:00:00,0,0,1,1
2001-10-22,0.0,V,nc,2001-10-22T00:00:00,0,0,1,1
2001-10-23,1.0,V,nc,2001-10-23T00:00:00,0,0,1,1
2001-10-24,9.0,V,nc,2001-10-24T00:00:00,0,0,1,1
2001-10-25,11.0,V,nc,2001-10-25T00:00:00,0,0,1,1
2001-10-26,10.0,V,nc,2001-10-26T00:00:00,0,0,1,1
2001-10-27,6.0,V,nc,2001-10-27T00:00:00,0,0,1,1
2001-10-28,7.0,V,nc,2001-10-28T00:00:00,0,0,1,1
2001-10-29,6.0,V,nc,2001-10-29T00:00:00,0,0,1,1
2001-10-30,6.0,V,nc,2001-10-30T00:00:00,0,0,1,1
2001-10-31,5.0,V,nc,2001-10-31T00:00:00,0,0,1,1
2001-11-01,7.0,V,nc,2001-11-01T00:00:00,0,0,1,1
2001-11-02,6.0,V,nc,2001-11-02T00:00:00,0,0,1,1
2001-11-03,6.0,V,nc,2001-11-03T00:00:00,0,0,1,1
2001-11-04,6.0,V,nc,2001-11-04T00:00:00,0,0,1,1
2001-11-05,5.0,V,nc,2001-11-05T00:00:00,0,0,1,1
2001-11-06,6.0,V,nc,2001-11-06T00:00:00,0,0,1,1
2001-11-07,6.0,V,nc,2001-11-07T00:00:00,0,0,1,1
2001-11-08,6.0,V,nc,2001-11-08T00:00:00,0,0,1,1
2001-11-09,6.0,V,nc,2001-11-09T00:00:00,0,0,1,1
