datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2000-05-04,64.0,V,nc,2000-05-04T00:00:00,0,0,1,1
2000-05-05,63.0,V,nc,2000-05-05T00:00:00,0,0,1,1
2000-05-06,64.0,V,nc,2000-05-06T00:00:00,0,0,1,1
2000-05-07,65.0,V,nc,2000-05-07T00:00:00,0,0,1,1
2000-05-08,63.0,V,nc,2000-05-08T00:00:00,0,0,1,1
2000-05-09,64.0,V,nc,2000-05-09T00:00:00,0,0,1,1
2000-05-10,,,nc,2000-05-10T00:00:00,0,0,1,1
2000-05-11,,,nc,2000-05-11T00:00:00,0,0,1,1
2000-05-12,68.0,V,nc,2000-05-12T00:00:00,0,0,1,1
2000-05-13,64.0,V,nc,2000-05-13T00:00:00,0,0,1,1
2000-05-14,61.0,V,nc,2000-05-14T00:00:00,0,0,1,1
2000-05-15,59.0,V,nc,2000-05-15T00:00:00,0,0,1,1
2000-05-16,55.0,V,nc,2000-05-16T00:00:00,0,0,1,1
2000-05-17,51.0,V,nc,2000-05-17T00:00:00,0,0,1,1
2000-05-18,48.0,V,nc,2000-05-18T00:00:00,0,0,1,1
2000-05-19,46.0,V,nc,2000-05-19T00:00:00,0,0,1,1
2000-05-20,40.0,V,nc,2000-05-20T00:00:00,0,0,1,1
2000-05-21,38.0,V,nc,2000-05-21T00:00:00,0,0,1,1
2000-05-22,,,nc,2000-05-22T00:00:00,0,0,1,1
2000-05-23,29.0,V,nc,2000-05-23T00:00:00,0,0,1,1
2000-05-24,27.0,V,nc,2000-05-24T00:00:00,0,0,1,1
2000-05-25,24.0,V,nc,2000-05-25T00:00:00,0,0,1,1
2000-05-26,,,nc,2000-05-26T00:00:00,0,0,1,1
2000-05-27,22.0,V,nc,2000-05-27T00:00:00,0,0,1,1
2000-05-28,21.0,V,nc,2000-05-28T00:00:00,0,0,1,1
2000-05-29,19.0,V,nc,2000-05-29T00:00:00,0,0,1,1
2000-05-30,,,nc,2000-05-30T00:00:00,0,0,1,1
2000-05-31,15.0,V,nc,2000-05-31T00:00:00,0,0,1,1
2000-06-01,23.0,V,nc,2000-06-01T00:00:00,0,0,1,1
