datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2002-08-30,0.0,V,nc,2002-08-30T00:00:00,0,0,1,1
2002-08-31,1.0,V,nc,2002-08-31T00:00:00,0,0,1,1
2002-09-01,0.0,V,nc,2002-09-01T00:00:00,0,0,1,1
2002-09-02,1.0,V,nc,2002-09-02T00:00:00,0,0,1,1
2002-09-03,0.0,V,nc,2002-09-03T00:00:00,0,0,1,1
2002-09-04,1.0,V,nc,2002-09-04T00:00:00,0,0,1,1
2002-09-05,1.0,V,nc,2002-09-05T00:00:00,0,0,1,1
2002-09-06,1.0,V,nc,2002-09-06T00:00:00,0,0,1,1
2002-09-07,1.0,V,nc,2002-09-07T00:00:00,0,0,1,1
2002-09-08,1.0,V,nc,2002-09-08T00:00:00,0,0,1,1
2002-09-09,1.0,V,nc,2002-09-09T00:00:00,0,0,1,1
2002-09-10,1.0,V,nc,2002-09-10T00:00:00,0,0,1,1
2002-09-11,0.0,V,nc,2002-09-11T00:00:00,0,0,1,1
2002-09-12,0.0,V,nc,2002-09-12T00:00:00,0,0,1,1
2002-09-13,1.0,V,nc,2002-09-13T00:00:00,0,0,1,1
2002-09-14,0.0,V,nc,2002-09-14T00:00:00,0,0,1,1
2002-09-15,0.0,V,nc,2002-09-15T00:00:00,0,0,1,1
2002-09-16,0.0,V,nc,2002-09-16T00:00:00,0,0,1,1
2002-09-17,1.0,V,nc,2002-09-17T00:00:00,0,0,1,1
2002-09-18,1.0,V,nc,2002-09-18T00:00:00,0,0,1,1
2002-09-19,1.0,V,nc,2002-09-19T00:00:00,0,0,1,1
2002-09-20,0.0,V,nc,2002-09-20T00:00:00,0,0,1,1
2002-09-21,1.0,V,nc,2002-09-21T00:00:00,0,0,1,1
2002-09-22,1.0,V,nc,2002-09-22T00:00:00,0,0,1,1
2002-09-23,0.0,V,nc,2002-09-23T00:00:00,0,0,1,1
2002-09-24,1.0,V,nc,2002-09-24T00:00:00,0,0,1,1
2002-09-25,0.0,V,nc,2002-09-25T00:00:00,0,0,1,1
2002-09-26,0.0,V,nc,2002-09-26T00:00:00,0,0,1,1
2002-09-27,1.0,V,nc,2002-09-27T00:00:00,0,0,1,1
2002-09-28,0.0,V,nc,2002-09-28T00:00:00,0,0,1,1
2002-09-29,0.0,V,nc,2002-09-29T00:00:00,0,0,1,1
2002-09-30,1.0,V,nc,2002-09-30T00:00:00,0,0,1,1
2002-10-01,0.0,E,nc,2002-10-01T00:00:00,0,0,1,1
2002-10-02,0.0,E,nc,2002-10-02T00:00:00,0,0,1,1
2002-10-03,0.0,E,nc,2002-10-03T00:00:00,0,0,1,1
2002-10-04,0.0,E,nc,2002-10-04T00:00:00,0,0,1,1
2002-10-05,0.0,E,nc,2002-10-05T00:00:00,0,0,1,1
2002-10-06,0.0,E,nc,2002-10-06T00:00:00,0,0,1,1
2002-10-07,0.0,E,nc,2002-10-07T00:00:00,0,0,1,1
2002-10-08,0.0,E,nc,2002-10-08T00:00:00,0,0,1,1
2002-10-09,0.0,E,nc,2002-10-09T00:00:00,0,0,1,1
2002-10-10,0.0,E,nc,2002-10-10T00:00:00,0,0,1,1
2002-10-11,0.0,E,nc,2002-10-11T00:00:00,0,0,1,1
2002-10-12,0.0,E,nc,2002-10-12T00:00:00,0,0,1,1
2002-10-13,0.0,E,nc,2002-10-13T00:00:00,0,0,1,1
2002-10-14,0.0,E,nc,2002-10-14T00:00:00,0,0,1,1
2002-10-15,0.0,E,nc,2002-10-15T00:00:00,0,0,1,1
2002-10-16,0.0,E,nc,2002-10-16T00:00:00,0,0,1,1
2002-10-17,0.0,E,nc,2002-10-17T00:00:00,0,0,1,1
2002-10-18,0.0,E,nc,2002-10-18T00:00:00,0,0,1,1
2002-10-19,0.0,E,nc,2002-10-19T00:00:00,0,0,1,1
2002-10-20,0.0,E,nc,2002-10-20T00:00:00,0,0,1,1
2002-10-21,0.0,E,nc,2002-10-21T00:00:00,0,0,1,1
2002-10-22,0.0,E,nc,2002-10-22T00:00:00,0,0,1,1
2002-10-23,0.0,E,nc,2002-10-23T00:00:00,0,0,1,1
2002-10-24,0.0,E,nc,2002-10-24T00:00:00,0,0,1,1
2002-10-25,0.0,E,nc,2002-10-25T00:00:00,0,0,1,1
2002-10-26,0.0,E,nc,2002-10-26T00:00:00,0,0,1,1
2002-10-27,0.0,E,nc,2002-10-27T00:00:00,0,0,1,1
2002-10-28,0.0,E,nc,2002-10-28T00:00:00,0,0,1,1
2002-10-29,0.0,E,nc,2002-10-29T00:00:00,0,0,1,1
2002-10-30,0.0,E,nc,2002-10-30T00:00:00,0,0,1,1
2002-10-31,0.0,E,nc,2002-10-31T00:00:00,0,0,1,1
2002-11-01,0.0,E,nc,2002-11-01T00:00:00,0,0,1,1
2002-11-02,0.0,E,nc,2002-11-02T00:00:00,0,0,1,1
2002-11-03,0.0,E,nc,2002-11-03T00:00:00,0,0,1,1
2002-11-04,0.0,E,nc,2002-11-04T00:00:00,0,0,1,1
2002-11-05,0.0,E,nc,2002-11-05T00:00:00,0,0,1,1
2002-11-06,0.0,E,nc,2002-11-06T00:00:00,0,0,1,1
2002-11-07,0.0,E,nc,2002-11-07T00:00:00,0,0,1,1
2002-11-08,1.0,V,nc,2002-11-08T00:00:00,0,0,1,1
2002-11-09,2.0,V,nc,2002-11-09T00:00:00,0,0,1,1
2002-11-10,2.0,V,nc,2002-11-10T00:00:00,0,0,1,1
2002-11-11,3.0,V,nc,2002-11-11T00:00:00,0,0,1,1
2002-11-12,4.0,V,nc,2002-11-12T00:00:00,0,0,1,1
2002-11-13,10.0,V,nc,2002-11-13T00:00:00,0,0,1,1
2002-11-14,10.0,V,nc,2002-11-14T00:00:00,0,0,1,1
2002-11-15,11.0,V,nc,2002-11-15T00:00:00,0,0,1,1
2002-11-16,11.0,V,nc,2002-11-16T00:00:00,0,0,1,1
2002-11-17,16.0,V,nc,2002-11-17T00:00:00,0,0,1,1
2002-11-18,17.0,V,nc,2002-11-18T00:00:00,0,0,1,1
2002-11-19,22.0,V,nc,2002-11-19T00:00:00,0,0,1,1
2002-11-20,17.0,V,nc,2002-11-20T00:00:00,0,0,1,1
2002-11-21,15.0,V,nc,2002-11-21T00:00:00,0,0,1,1
2002-11-22,12.0,V,nc,2002-11-22T00:00:00,0,0,1,1
2002-11-23,11.0,V,nc,2002-11-23T00:00:00,0,0,1,1
2002-11-24,11.0,V,nc,2002-11-24T00:00:00,0,0,1,1
2002-11-25,11.0,V,nc,2002-11-25T00:00:00,0,0,1,1
2002-11-26,11.0,V,nc,2002-11-26T00:00:00,0,0,1,1
2002-11-27,11.0,V,nc,2002-11-27T00:00:00,0,0,1,1
2002-11-28,11.0,V,nc,2002-11-28T00:00:00,0,0,1,1
2002-11-29,11.0,V,nc,2002-11-29T00:00:00,0,0,1,1
2002-11-30,11.0,V,nc,2002-11-30T00:00:00,0,0,1,1
2002-12-01,11.0,V,nc,2002-12-01T00:00:00,0,0,1,1
2002-12-02,11.0,V,nc,2002-12-02T00:00:00,0,0,1,1
2002-12-03,11.0,V,nc,2002-12-03T00:00:00,0,0,1,1
2002-12-04,11.0,V,nc,2002-12-04T00:00:00,0,0,1,1
2002-12-05,11.0,V,nc,2002-12-05T00:00:00,0,0,1,1
2002-12-06,11.0,V,nc,2002-12-06T00:00:00,0,0,1,1
2002-12-07,10.0,V,nc,2002-12-07T00:00:00,0,0,1,1
2002-12-08,10.0,V,nc,2002-12-08T00:00:00,0,0,1,1
2002-12-09,11.0,V,nc,2002-12-09T00:00:00,0,0,1,1
