,water_year,last_snow
0,1983,1900-05-27
1,1984,1900-05-28
2,1985,1900-05-03
3,1986,1900-05-13
4,1987,1900-05-01
5,1988,1900-05-10
6,1989,1900-05-07
7,1990,1900-04-24
8,1991,1900-05-06
9,1992,1900-04-26
10,1993,1900-05-12
11,1994,1900-05-04
12,1995,1900-05-27
13,1996,1900-05-20
14,1997,1900-05-24
15,1998,1900-05-13
16,1999,1900-06-07
17,2000,1900-05-24
18,2001,1900-05-19
19,2002,1900-05-25
20,2003,1900-05-25
21,2004,1900-05-03
22,2005,1900-05-02
23,2006,1900-05-22
24,2007,1900-05-22
25,2008,1900-05-25
26,2009,1900-05-27
27,2010,1900-05-30
28,2011,1900-06-17
29,2012,1900-08-03
30,2013,1900-05-24
31,2014,1900-04-30
32,2015,1900-03-29
33,2016,1900-04-27
34,2017,1900-05-20
35,2018,1900-05-07
36,2019,1900-05-04
37,2020,1900-04-30
38,2021,1900-05-02
