water_year,last_snow,DOWY
1983,1983-05-27,238
1984,1984-05-28,240
1985,1985-05-03,214
1986,1986-05-13,224
1987,1987-05-01,212
1988,1988-05-10,222
1989,1989-05-07,218
1990,1990-04-24,205
1991,1991-05-06,217
1992,1992-04-26,208
1993,1993-05-12,223
1994,1994-05-04,215
1995,1995-05-27,238
1996,1996-05-20,232
1997,1997-05-24,235
1998,1998-05-13,224
1999,1999-06-07,249
2000,2000-05-24,236
2001,2001-05-19,230
2002,2002-05-25,236
2003,2003-05-25,236
2004,2004-05-03,215
2005,2005-05-02,213
2006,2006-05-22,233
2007,2007-05-22,233
2008,2008-05-25,237
2009,2009-05-27,238
2010,2010-05-30,241
2011,2011-06-17,259
2012,2012-08-03,307
2013,2013-05-24,235
2014,2014-04-30,211
2015,2015-03-29,179
2016,2016-04-27,209
2017,2017-05-20,231
2018,2018-05-07,218
2019,2019-05-04,215
2020,2020-04-30,212
2021,2021-05-02,213
