water_year,last_snow
1983,1900-06-30
1984,1900-07-06
1985,1900-06-11
1986,1900-06-14
1987,1900-06-06
1988,1900-06-17
1989,1900-06-14
1990,1900-06-28
1991,1900-07-06
1992,1900-06-03
1993,1900-06-08
1994,1900-06-12
1995,1900-06-26
1996,1900-07-09
1997,1900-07-04
1998,1900-06-13
1999,1900-07-21
2000,1900-06-25
2001,1900-06-08
2002,1900-07-01
2003,1900-06-22
2004,1900-06-10
2005,1900-05-22
2006,1900-06-21
2007,1900-06-23
2008,1900-06-30
2009,1900-06-16
2010,1900-07-08
2011,1900-07-21
2012,1900-07-10
2013,1900-06-29
2014,1900-06-27
2015,1900-06-03
2016,1900-06-09
2017,1900-06-28
2018,1900-06-18
2019,1900-06-08
2020,1900-06-23
2021,1900-06-23
