water_year,last_snow,DOWY
1982,1982-05-12,223
1983,1983-05-03,214
1984,1984-05-09,221
1985,1985-05-06,217
1986,1986-04-28,209
1987,1987-04-27,208
1988,1988-06-05,248
1989,1989-04-30,211
1990,1990-04-21,202
1991,1991-05-02,213
1992,1992-04-26,208
1993,1993-05-04,215
1994,1994-04-27,208
1995,1995-05-18,229
1996,1996-05-23,235
1997,1997-05-21,232
1998,1998-05-07,218
1999,1999-05-30,241
2000,2000-05-08,220
2001,2001-05-05,216
2002,2002-05-12,223
2003,2003-05-15,226
2004,2004-04-25,207
2005,2005-04-27,208
2006,2006-05-18,229
2007,2007-05-08,219
2008,2008-05-22,234
2009,2009-05-18,229
2010,2010-05-21,232
2011,2011-05-27,238
2012,2012-05-14,226
2013,2013-05-06,217
2014,2014-05-05,216
2015,2015-04-02,183
2016,2016-04-21,203
2017,2017-05-04,215
2018,2018-04-27,208
2019,2019-04-25,206
2020,2020-04-20,202
2021,2021-04-29,210
