datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2003-08-29,0,E,nc,2003-08-29T00:00:00,0,0,1,1
2003-08-30,0,V,nc,2003-08-30T00:00:00,0,0,1,1
2003-08-31,0,E,nc,2003-08-31T00:00:00,0,0,1,1
2003-09-01,0,E,nc,2003-09-01T00:00:00,0,0,1,1
2003-09-02,0,E,nc,2003-09-02T00:00:00,0,0,1,1
2003-09-03,0,E,nc,2003-09-03T00:00:00,0,0,1,1
2003-09-04,0,E,nc,2003-09-04T00:00:00,0,0,1,1
2003-09-05,0,E,nc,2003-09-05T00:00:00,0,0,1,1
2003-09-06,0,E,nc,2003-09-06T00:00:00,0,0,1,1
2003-09-07,0,E,nc,2003-09-07T00:00:00,0,0,1,1
2003-09-08,0,E,nc,2003-09-08T00:00:00,0,0,1,1
2003-09-09,0,E,nc,2003-09-09T00:00:00,0,0,1,1
2003-09-10,0,E,nc,2003-09-10T00:00:00,0,0,1,1
2003-09-11,0,E,nc,2003-09-11T00:00:00,0,0,1,1
2003-09-12,0,E,nc,2003-09-12T00:00:00,0,0,1,1
2003-09-13,0,E,nc,2003-09-13T00:00:00,0,0,1,1
2003-09-14,0,E,nc,2003-09-14T00:00:00,0,0,1,1
2003-09-15,0,E,nc,2003-09-15T00:00:00,0,0,1,1
2003-09-16,0,E,nc,2003-09-16T00:00:00,0,0,1,1
2003-09-17,0,E,nc,2003-09-17T00:00:00,0,0,1,1
2003-09-18,0,E,nc,2003-09-18T00:00:00,0,0,1,1
2003-09-19,0,E,nc,2003-09-19T00:00:00,0,0,1,1
2003-09-20,0,E,nc,2003-09-20T00:00:00,0,0,1,1
2003-09-21,0,E,nc,2003-09-21T00:00:00,0,0,1,1
2003-09-22,0,E,nc,2003-09-22T00:00:00,0,0,1,1
2003-09-23,0,E,nc,2003-09-23T00:00:00,0,0,1,1
2003-09-24,0,E,nc,2003-09-24T00:00:00,0,0,1,1
2003-09-25,0,E,nc,2003-09-25T00:00:00,0,0,1,1
2003-09-26,0,E,nc,2003-09-26T00:00:00,0,0,1,1
2003-09-27,0,E,nc,2003-09-27T00:00:00,0,0,1,1
2003-09-28,0,E,nc,2003-09-28T00:00:00,0,0,1,1
2003-09-29,0,E,nc,2003-09-29T00:00:00,0,0,1,1
2003-09-30,0,E,nc,2003-09-30T00:00:00,0,0,1,1
2003-10-01,0,E,nc,2003-10-01T00:00:00,0,0,1,1
2003-10-02,0,E,nc,2003-10-02T00:00:00,0,0,1,1
2003-10-03,0,E,nc,2003-10-03T00:00:00,0,0,1,1
2003-10-04,0,E,nc,2003-10-04T00:00:00,0,0,1,1
2003-10-05,0,E,nc,2003-10-05T00:00:00,0,0,1,1
2003-10-06,0,V,nc,2003-10-06T00:00:00,0,0,1,1
2003-10-07,0,E,nc,2003-10-07T00:00:00,0,0,1,1
2003-10-08,0,E,nc,2003-10-08T00:00:00,0,0,1,1
2003-10-09,0,V,nc,2003-10-09T00:00:00,0,0,1,1
2003-10-10,0,E,nc,2003-10-10T00:00:00,0,0,1,1
2003-10-11,0,E,nc,2003-10-11T00:00:00,0,0,1,1
2003-10-12,0,E,nc,2003-10-12T00:00:00,0,0,1,1
2003-10-13,0,E,nc,2003-10-13T00:00:00,0,0,1,1
2003-10-14,0,E,nc,2003-10-14T00:00:00,0,0,1,1
2003-10-15,0,E,nc,2003-10-15T00:00:00,0,0,1,1
2003-10-16,0,E,nc,2003-10-16T00:00:00,0,0,1,1
2003-10-17,0,E,nc,2003-10-17T00:00:00,0,0,1,1
2003-10-18,0,E,nc,2003-10-18T00:00:00,0,0,1,1
2003-10-19,0,E,nc,2003-10-19T00:00:00,0,0,1,1
2003-10-20,0,E,nc,2003-10-20T00:00:00,0,0,1,1
2003-10-21,0,V,nc,2003-10-21T00:00:00,0,0,1,1
2003-10-22,0,V,nc,2003-10-22T00:00:00,0,0,1,1
2003-10-23,0,E,nc,2003-10-23T00:00:00,0,0,1,1
2003-10-24,0,E,nc,2003-10-24T00:00:00,0,0,1,1
2003-10-25,0,E,nc,2003-10-25T00:00:00,0,0,1,1
2003-10-26,0,E,nc,2003-10-26T00:00:00,0,0,1,1
2003-10-27,0,E,nc,2003-10-27T00:00:00,0,0,1,1
2003-10-28,0,E,nc,2003-10-28T00:00:00,0,0,1,1
2003-10-29,0,E,nc,2003-10-29T00:00:00,0,0,1,1
2003-10-30,0,E,nc,2003-10-30T00:00:00,0,0,1,1
2003-10-31,0,E,nc,2003-10-31T00:00:00,0,0,1,1
2003-11-01,0,E,nc,2003-11-01T00:00:00,0,0,1,1
2003-11-02,0,E,nc,2003-11-02T00:00:00,0,0,1,1
2003-11-03,3,V,nc,2003-11-03T00:00:00,0,0,1,1
2003-11-04,6,V,nc,2003-11-04T00:00:00,0,0,1,1
2003-11-05,5,V,nc,2003-11-05T00:00:00,0,0,1,1
2003-11-06,4,V,nc,2003-11-06T00:00:00,0,0,1,1
2003-11-07,4,V,nc,2003-11-07T00:00:00,0,0,1,1
2003-11-08,4,V,nc,2003-11-08T00:00:00,0,0,1,1
2003-11-09,3,V,nc,2003-11-09T00:00:00,0,0,1,1
2003-11-10,3,V,nc,2003-11-10T00:00:00,0,0,1,1
2003-11-11,3,V,nc,2003-11-11T00:00:00,0,0,1,1
2003-11-12,8,V,nc,2003-11-12T00:00:00,0,0,1,1
2003-11-13,7,V,nc,2003-11-13T00:00:00,0,0,1,1
2003-11-14,6,V,nc,2003-11-14T00:00:00,0,0,1,1
2003-11-15,5,V,nc,2003-11-15T00:00:00,0,0,1,1
2003-11-16,6,V,nc,2003-11-16T00:00:00,0,0,1,1
2003-11-17,8,V,nc,2003-11-17T00:00:00,0,0,1,1
2003-11-18,8,V,nc,2003-11-18T00:00:00,0,0,1,1
2003-11-19,5,V,nc,2003-11-19T00:00:00,0,0,1,1
2003-11-20,4,V,nc,2003-11-20T00:00:00,0,0,1,1
2003-11-21,6,V,nc,2003-11-21T00:00:00,0,0,1,1
2003-11-22,6,V,nc,2003-11-22T00:00:00,0,0,1,1
2003-11-23,5,V,nc,2003-11-23T00:00:00,0,0,1,1
2003-11-24,6,V,nc,2003-11-24T00:00:00,0,0,1,1
2003-11-25,6,V,nc,2003-11-25T00:00:00,0,0,1,1
2003-11-26,7,V,nc,2003-11-26T00:00:00,0,0,1,1
2003-11-27,7,V,nc,2003-11-27T00:00:00,0,0,1,1
2003-11-28,6,V,nc,2003-11-28T00:00:00,0,0,1,1
2003-11-29,7,V,nc,2003-11-29T00:00:00,0,0,1,1
2003-11-30,7,V,nc,2003-11-30T00:00:00,0,0,1,1
2003-12-01,7,V,nc,2003-12-01T00:00:00,0,0,1,1
2003-12-02,8,V,nc,2003-12-02T00:00:00,0,0,1,1
2003-12-03,8,V,nc,2003-12-03T00:00:00,0,0,1,1
2003-12-04,8,V,nc,2003-12-04T00:00:00,0,0,1,1
2003-12-05,8,V,nc,2003-12-05T00:00:00,0,0,1,1
2003-12-06,11,V,nc,2003-12-06T00:00:00,0,0,1,1
2003-12-07,13,V,nc,2003-12-07T00:00:00,0,0,1,1
2003-12-08,12,V,nc,2003-12-08T00:00:00,0,0,1,1
2003-12-09,13,V,nc,2003-12-09T00:00:00,0,0,1,1
2003-12-10,13,V,nc,2003-12-10T00:00:00,0,0,1,1
2003-12-11,12,V,nc,2003-12-11T00:00:00,0,0,1,1
2003-12-12,12,V,nc,2003-12-12T00:00:00,0,0,1,1
