water_year,last_snow,DOWY
1981,1981-05-11,222
1982,1982-06-03,245
1983,1983-06-21,263
1984,1984-05-30,242
1985,1985-05-13,224
1986,1986-06-01,243
1987,1987-05-09,220
1988,1988-05-16,228
1989,1989-05-30,241
1990,1990-05-05,216
1991,1991-05-27,238
1992,1992-04-25,207
1993,1993-05-23,234
1994,1994-05-09,220
1995,1995-05-26,237
1996,1996-05-20,232
1997,1997-05-19,230
1998,1998-05-09,220
1999,1999-06-18,260
2000,2000-05-26,238
2001,2001-05-14,225
2002,2002-05-27,238
2003,2003-05-19,230
2004,2004-05-20,232
2005,2005-05-09,220
2006,2006-05-26,237
2007,2007-05-16,227
2008,2008-06-13,256
2009,2009-05-25,236
2010,2010-05-31,242
2011,2011-06-17,259
2012,2012-05-27,239
2013,2013-05-01,212
2014,2014-05-11,222
2015,2015-04-10,191
2016,2016-04-24,206
2017,2017-05-08,219
2018,2018-04-24,205
2019,2019-05-05,216
2020,2020-04-23,205
2021,2021-04-21,202
