datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2005-03-01,56.0,E,nc,2005-03-01T00:00:00,0,0,1,1
2005-03-02,56.0,V,nc,2005-03-02T00:00:00,0,0,1,1
2005-03-03,57.0,V,nc,2005-03-03T00:00:00,0,0,1,1
2005-03-04,57.0,V,nc,2005-03-04T00:00:00,0,0,1,1
2005-03-05,56.0,V,nc,2005-03-05T00:00:00,0,0,1,1
2005-03-06,56.0,V,nc,2005-03-06T00:00:00,0,0,1,1
2005-03-07,56.0,V,nc,2005-03-07T00:00:00,0,0,1,1
2005-03-08,55.0,V,nc,2005-03-08T00:00:00,0,0,1,1
2005-03-09,55.0,V,nc,2005-03-09T00:00:00,0,0,1,1
2005-03-10,55.0,V,nc,2005-03-10T00:00:00,0,0,1,1
2005-03-11,55.0,V,nc,2005-03-11T00:00:00,0,0,1,1
2005-03-12,55.0,V,nc,2005-03-12T00:00:00,0,0,1,1
2005-03-13,54.0,V,nc,2005-03-13T00:00:00,0,0,1,1
2005-03-14,54.0,V,nc,2005-03-14T00:00:00,0,0,1,1
2005-03-15,54.0,V,nc,2005-03-15T00:00:00,0,0,1,1
2005-03-16,54.0,V,nc,2005-03-16T00:00:00,0,0,1,1
2005-03-17,55.0,V,nc,2005-03-17T00:00:00,0,0,1,1
2005-03-18,55.0,V,nc,2005-03-18T00:00:00,0,0,1,1
2005-03-19,55.0,V,nc,2005-03-19T00:00:00,0,0,1,1
2005-03-20,56.0,V,nc,2005-03-20T00:00:00,0,0,1,1
2005-03-21,60.0,V,nc,2005-03-21T00:00:00,0,0,1,1
2005-03-22,60.0,V,nc,2005-03-22T00:00:00,0,0,1,1
2005-03-23,64.0,V,nc,2005-03-23T00:00:00,0,0,1,1
2005-03-24,66.0,V,nc,2005-03-24T00:00:00,0,0,1,1
2005-03-25,70.0,V,nc,2005-03-25T00:00:00,0,0,1,1
2005-03-26,69.0,V,nc,2005-03-26T00:00:00,0,0,1,1
2005-03-27,65.0,E,nc,2005-03-27T00:00:00,0,0,1,1
2005-03-28,66.0,V,nc,2005-03-28T00:00:00,0,0,1,1
2005-03-29,79.0,V,nc,2005-03-29T00:00:00,0,0,1,1
2005-03-30,90.0,V,nc,2005-03-30T00:00:00,0,0,1,1
2005-03-31,86.0,V,nc,2005-03-31T00:00:00,0,0,1,1
2005-04-01,83.0,V,nc,2005-04-01T00:00:00,0,0,1,1
2005-04-02,82.0,V,nc,2005-04-02T00:00:00,0,0,1,1
2005-04-03,79.0,V,nc,2005-04-03T00:00:00,0,0,1,1
2005-04-04,84.0,V,nc,2005-04-04T00:00:00,0,0,1,1
2005-04-05,85.0,V,nc,2005-04-05T00:00:00,0,0,1,1
2005-04-06,82.0,V,nc,2005-04-06T00:00:00,0,0,1,1
2005-04-07,78.0,V,nc,2005-04-07T00:00:00,0,0,1,1
2005-04-08,79.0,V,nc,2005-04-08T00:00:00,0,0,1,1
2005-04-09,79.0,V,nc,2005-04-09T00:00:00,0,0,1,1
2005-04-10,80.0,V,nc,2005-04-10T00:00:00,0,0,1,1
2005-04-11,78.0,V,nc,2005-04-11T00:00:00,0,0,1,1
2005-04-12,79.0,V,nc,2005-04-12T00:00:00,0,0,1,1
2005-04-13,80.0,V,nc,2005-04-13T00:00:00,0,0,1,1
2005-04-14,81.0,V,nc,2005-04-14T00:00:00,0,0,1,1
2005-04-15,80.0,V,nc,2005-04-15T00:00:00,0,0,1,1
2005-04-16,78.0,V,nc,2005-04-16T00:00:00,0,0,1,1
2005-04-17,78.0,V,nc,2005-04-17T00:00:00,0,0,1,1
2005-04-18,79.0,V,nc,2005-04-18T00:00:00,0,0,1,1
2005-04-19,78.0,V,nc,2005-04-19T00:00:00,0,0,1,1
2005-04-20,77.0,V,nc,2005-04-20T00:00:00,0,0,1,1
2005-04-21,76.0,V,nc,2005-04-21T00:00:00,0,0,1,1
2005-04-22,74.0,V,nc,2005-04-22T00:00:00,0,0,1,1
2005-04-23,73.0,V,nc,2005-04-23T00:00:00,0,0,1,1
2005-04-24,73.0,V,nc,2005-04-24T00:00:00,0,0,1,1
2005-04-25,72.0,V,nc,2005-04-25T00:00:00,0,0,1,1
2005-04-26,70.0,V,nc,2005-04-26T00:00:00,0,0,1,1
2005-04-27,69.0,V,nc,2005-04-27T00:00:00,0,0,1,1
2005-04-28,68.0,V,nc,2005-04-28T00:00:00,0,0,1,1
2005-04-29,67.0,V,nc,2005-04-29T00:00:00,0,0,1,1
2005-04-30,65.0,V,nc,2005-04-30T00:00:00,0,0,1,1
2005-05-01,64.0,V,nc,2005-05-01T00:00:00,0,0,1,1
2005-05-02,62.0,V,nc,2005-05-02T00:00:00,0,0,1,1
2005-05-03,61.0,V,nc,2005-05-03T00:00:00,0,0,1,1
2005-05-04,59.0,V,nc,2005-05-04T00:00:00,0,0,1,1
2005-05-05,57.0,V,nc,2005-05-05T00:00:00,0,0,1,1
2005-05-06,56.0,V,nc,2005-05-06T00:00:00,0,0,1,1
2005-05-07,55.0,V,nc,2005-05-07T00:00:00,0,0,1,1
2005-05-08,53.0,V,nc,2005-05-08T00:00:00,0,0,1,1
2005-05-09,53.0,V,nc,2005-05-09T00:00:00,0,0,1,1
2005-05-10,56.0,V,nc,2005-05-10T00:00:00,0,0,1,1
2005-05-11,56.0,V,nc,2005-05-11T00:00:00,0,0,1,1
2005-05-12,53.0,V,nc,2005-05-12T00:00:00,0,0,1,1
2005-05-13,51.0,V,nc,2005-05-13T00:00:00,0,0,1,1
2005-05-14,50.0,V,nc,2005-05-14T00:00:00,0,0,1,1
2005-05-15,47.0,V,nc,2005-05-15T00:00:00,0,0,1,1
2005-05-16,46.0,V,nc,2005-05-16T00:00:00,0,0,1,1
2005-05-17,47.0,V,nc,2005-05-17T00:00:00,0,0,1,1
2005-05-18,45.0,V,nc,2005-05-18T00:00:00,0,0,1,1
2005-05-19,45.0,V,nc,2005-05-19T00:00:00,0,0,1,1
2005-05-20,43.0,V,nc,2005-05-20T00:00:00,0,0,1,1
2005-05-21,42.0,V,nc,2005-05-21T00:00:00,0,0,1,1
2005-05-22,41.0,V,nc,2005-05-22T00:00:00,0,0,1,1
