water_year,last_snow
1979,1900-06-13
1980,1900-06-18
1981,1900-06-06
1982,1900-07-06
1983,1900-07-07
1984,1900-07-11
1985,1900-06-24
1986,1900-06-24
1987,1900-06-08
1988,1900-06-29
1989,1900-06-30
1990,1900-06-18
1991,1900-07-20
1992,1900-05-23
1993,1900-07-06
1994,1900-06-09
1995,1900-06-29
1996,1900-06-18
1997,1900-06-23
1998,1900-06-23
1999,1900-07-19
2000,1900-06-25
2001,1900-05-29
2002,1900-06-29
2003,1900-06-17
2004,1900-06-28
2005,1900-06-18
2006,1900-06-29
2007,1900-06-23
2008,1900-07-16
2009,1900-07-05
2010,1900-07-12
2011,1900-07-16
2012,1900-07-02
2013,1900-06-10
2014,1900-06-15
2015,1900-05-23
2016,1900-06-09
2017,1900-06-28
2018,1900-06-03
2019,1900-06-14
2020,1900-06-12
2021,1900-06-16
