water_year,last_snow
1983,1900-06-27
1984,1900-07-01
1985,1900-06-18
1986,1900-06-14
1987,1900-06-13
1988,1900-06-21
1989,1900-06-19
1990,1900-06-28
1991,1900-07-11
1992,1900-06-15
1993,1900-05-27
1994,1900-05-29
1995,1900-06-23
1996,1900-07-01
1997,1900-07-06
1998,1900-06-11
1999,1900-07-16
2000,1900-06-22
2001,1900-06-04
2002,1900-06-29
2003,1900-06-15
2004,1900-06-05
2005,1900-05-19
2006,1900-06-22
2007,1900-06-19
2008,1900-06-27
2009,1900-06-12
2010,1900-06-24
2011,1900-07-07
2012,1900-07-09
2013,1900-06-15
2014,1900-06-25
2015,1900-06-01
2016,1900-06-08
2017,1900-06-21
2018,1900-06-18
2019,1900-06-01
2020,1900-06-21
2021,1900-06-20
