datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2010-08-20,0.0,E,nc,2010-08-20T00:00:00,0,0,1,1
2010-08-21,0.0,E,nc,2010-08-21T00:00:00,0,0,1,1
2010-08-22,0.0,V,nc,2010-08-22T00:00:00,0,0,1,1
2010-08-23,0.0,V,nc,2010-08-23T00:00:00,0,0,1,1
2010-08-24,0.0,V,nc,2010-08-24T00:00:00,0,0,1,1
2010-08-25,0.0,E,nc,2010-08-25T00:00:00,0,0,1,1
2010-08-26,0.0,E,nc,2010-08-26T00:00:00,0,0,1,1
2010-08-27,0.0,E,nc,2010-08-27T00:00:00,0,0,1,1
2010-08-28,0.0,V,nc,2010-08-28T00:00:00,0,0,1,1
2010-08-29,0.0,V,nc,2010-08-29T00:00:00,0,0,1,1
2010-08-30,0.0,E,nc,2010-08-30T00:00:00,0,0,1,1
2010-08-31,0.0,E,nc,2010-08-31T00:00:00,0,0,1,1
2010-09-01,0.0,V,nc,2010-09-01T00:00:00,0,0,1,1
2010-09-02,0.0,V,nc,2010-09-02T00:00:00,0,0,1,1
2010-09-03,0.0,V,nc,2010-09-03T00:00:00,0,0,1,1
2010-09-04,0.0,E,nc,2010-09-04T00:00:00,0,0,1,1
2010-09-05,0.0,V,nc,2010-09-05T00:00:00,0,0,1,1
2010-09-06,0.0,V,nc,2010-09-06T00:00:00,0,0,1,1
2010-09-07,0.0,E,nc,2010-09-07T00:00:00,0,0,1,1
2010-09-08,0.0,E,nc,2010-09-08T00:00:00,0,0,1,1
2010-09-09,0.0,V,nc,2010-09-09T00:00:00,0,0,1,1
2010-09-10,0.0,V,nc,2010-09-10T00:00:00,0,0,1,1
2010-09-11,0.0,V,nc,2010-09-11T00:00:00,0,0,1,1
2010-09-12,0.0,V,nc,2010-09-12T00:00:00,0,0,1,1
2010-09-13,0.0,V,nc,2010-09-13T00:00:00,0,0,1,1
2010-09-14,0.0,V,nc,2010-09-14T00:00:00,0,0,1,1
2010-09-15,0.0,E,nc,2010-09-15T00:00:00,0,0,1,1
2010-09-16,0.0,V,nc,2010-09-16T00:00:00,0,0,1,1
2010-09-17,0.0,V,nc,2010-09-17T00:00:00,0,0,1,1
2010-09-18,0.0,E,nc,2010-09-18T00:00:00,0,0,1,1
2010-09-19,0.0,E,nc,2010-09-19T00:00:00,0,0,1,1
2010-09-20,0.0,E,nc,2010-09-20T00:00:00,0,0,1,1
2010-09-21,0.0,E,nc,2010-09-21T00:00:00,0,0,1,1
2010-09-22,0.0,E,nc,2010-09-22T00:00:00,0,0,1,1
2010-09-23,0.0,E,nc,2010-09-23T00:00:00,0,0,1,1
2010-09-24,0.0,E,nc,2010-09-24T00:00:00,0,0,1,1
2010-09-25,0.0,E,nc,2010-09-25T00:00:00,0,0,1,1
2010-09-26,0.0,V,nc,2010-09-26T00:00:00,0,0,1,1
2010-09-27,0.0,E,nc,2010-09-27T00:00:00,0,0,1,1
2010-09-28,0.0,E,nc,2010-09-28T00:00:00,0,0,1,1
2010-09-29,0.0,E,nc,2010-09-29T00:00:00,0,0,1,1
2010-09-30,0.0,E,nc,2010-09-30T00:00:00,0,0,1,1
2010-10-01,0.0,E,nc,2010-10-01T00:00:00,0,0,1,1
2010-10-02,0.0,V,nc,2010-10-02T00:00:00,0,0,1,1
2010-10-03,0.0,E,nc,2010-10-03T00:00:00,0,0,1,1
2010-10-04,0.0,E,nc,2010-10-04T00:00:00,0,0,1,1
2010-10-05,0.0,E,nc,2010-10-05T00:00:00,0,0,1,1
2010-10-06,0.0,E,nc,2010-10-06T00:00:00,0,0,1,1
2010-10-07,0.0,E,nc,2010-10-07T00:00:00,0,0,1,1
2010-10-08,0.0,E,nc,2010-10-08T00:00:00,0,0,1,1
2010-10-09,0.0,E,nc,2010-10-09T00:00:00,0,0,1,1
2010-10-10,0.0,E,nc,2010-10-10T00:00:00,0,0,1,1
2010-10-11,0.0,E,nc,2010-10-11T00:00:00,0,0,1,1
2010-10-12,0.0,V,nc,2010-10-12T00:00:00,0,0,1,1
2010-10-13,0.0,V,nc,2010-10-13T00:00:00,0,0,1,1
2010-10-14,0.0,V,nc,2010-10-14T00:00:00,0,0,1,1
2010-10-15,0.0,V,nc,2010-10-15T00:00:00,0,0,1,1
2010-10-16,0.0,E,nc,2010-10-16T00:00:00,0,0,1,1
2010-10-17,0.0,E,nc,2010-10-17T00:00:00,0,0,1,1
2010-10-18,0.0,E,nc,2010-10-18T00:00:00,0,0,1,1
2010-10-19,0.0,E,nc,2010-10-19T00:00:00,0,0,1,1
2010-10-20,0.0,E,nc,2010-10-20T00:00:00,0,0,1,1
2010-10-21,0.0,E,nc,2010-10-21T00:00:00,0,0,1,1
2010-10-22,0.0,E,nc,2010-10-22T00:00:00,0,0,1,1
2010-10-23,0.0,E,nc,2010-10-23T00:00:00,0,0,1,1
2010-10-24,0.0,E,nc,2010-10-24T00:00:00,0,0,1,1
2010-10-25,0.0,E,nc,2010-10-25T00:00:00,0,0,1,1
2010-10-26,0.0,V,nc,2010-10-26T00:00:00,0,0,1,1
2010-10-27,0.0,V,nc,2010-10-27T00:00:00,0,0,1,1
2010-10-28,0.0,V,nc,2010-10-28T00:00:00,0,0,1,1
2010-10-29,0.0,V,nc,2010-10-29T00:00:00,0,0,1,1
2010-10-30,0.0,V,nc,2010-10-30T00:00:00,0,0,1,1
2010-10-31,0.0,V,nc,2010-10-31T00:00:00,0,0,1,1
2010-11-01,0.0,V,nc,2010-11-01T00:00:00,0,0,1,1
2010-11-02,0.0,E,nc,2010-11-02T00:00:00,0,0,1,1
2010-11-03,0.0,V,nc,2010-11-03T00:00:00,0,0,1,1
2010-11-04,0.0,V,nc,2010-11-04T00:00:00,0,0,1,1
2010-11-05,0.0,V,nc,2010-11-05T00:00:00,0,0,1,1
2010-11-06,0.0,V,nc,2010-11-06T00:00:00,0,0,1,1
2010-11-07,0.0,E,nc,2010-11-07T00:00:00,0,0,1,1
2010-11-08,0.0,V,nc,2010-11-08T00:00:00,0,0,1,1
2010-11-09,0.0,E,nc,2010-11-09T00:00:00,0,0,1,1
2010-11-10,0.0,E,nc,2010-11-10T00:00:00,0,0,1,1
2010-11-11,0.0,E,nc,2010-11-11T00:00:00,0,0,1,1
2010-11-12,0.0,E,nc,2010-11-12T00:00:00,0,0,1,1
2010-11-13,0.0,E,nc,2010-11-13T00:00:00,0,0,1,1
2010-11-14,0.0,E,nc,2010-11-14T00:00:00,0,0,1,1
2010-11-15,0.0,E,nc,2010-11-15T00:00:00,0,0,1,1
2010-11-16,0.0,E,nc,2010-11-16T00:00:00,0,0,1,1
2010-11-17,0.0,V,nc,2010-11-17T00:00:00,0,0,1,1
2010-11-18,5.0,E,nc,2010-11-18T00:00:00,0,0,1,1
2010-11-19,5.0,E,nc,2010-11-19T00:00:00,0,0,1,1
2010-11-20,6.0,E,nc,2010-11-20T00:00:00,0,0,1,1
2010-11-21,6.0,E,nc,2010-11-21T00:00:00,0,0,1,1
2010-11-22,6.0,E,nc,2010-11-22T00:00:00,0,0,1,1
2010-11-23,7.0,E,nc,2010-11-23T00:00:00,0,0,1,1
2010-11-24,7.0,E,nc,2010-11-24T00:00:00,0,0,1,1
2010-11-25,7.0,E,nc,2010-11-25T00:00:00,0,0,1,1
2010-11-26,7.0,E,nc,2010-11-26T00:00:00,0,0,1,1
2010-11-27,8.0,E,nc,2010-11-27T00:00:00,0,0,1,1
2010-11-28,12.0,E,nc,2010-11-28T00:00:00,0,0,1,1
2010-11-29,16.0,V,nc,2010-11-29T00:00:00,0,0,1,1
2010-11-30,13.0,E,nc,2010-11-30T00:00:00,0,0,1,1
2010-12-01,20.0,E,nc,2010-12-01T00:00:00,0,0,1,1
2010-12-02,20.0,E,nc,2010-12-02T00:00:00,0,0,1,1
2010-12-03,19.0,E,nc,2010-12-03T00:00:00,0,0,1,1
2010-12-04,27.0,V,nc,2010-12-04T00:00:00,0,0,1,1
2010-12-05,20.0,V,nc,2010-12-05T00:00:00,0,0,1,1
2010-12-06,20.0,E,nc,2010-12-06T00:00:00,0,0,1,1
2010-12-07,24.0,E,nc,2010-12-07T00:00:00,0,0,1,1
2010-12-08,24.0,V,nc,2010-12-08T00:00:00,0,0,1,1
2010-12-09,30.0,E,nc,2010-12-09T00:00:00,0,0,1,1
2010-12-10,45.0,E,nc,2010-12-10T00:00:00,0,0,1,1
2010-12-11,43.0,V,nc,2010-12-11T00:00:00,0,0,1,1
2010-12-12,60.0,V,nc,2010-12-12T00:00:00,0,0,1,1
2010-12-13,50.0,V,nc,2010-12-13T00:00:00,0,0,1,1
2010-12-14,48.0,E,nc,2010-12-14T00:00:00,0,0,1,1
2010-12-15,48.0,E,nc,2010-12-15T00:00:00,0,0,1,1
2010-12-16,48.0,E,nc,2010-12-16T00:00:00,0,0,1,1
2010-12-17,49.0,V,nc,2010-12-17T00:00:00,0,0,1,1
2010-12-18,48.0,E,nc,2010-12-18T00:00:00,0,0,1,1
2010-12-19,48.0,E,nc,2010-12-19T00:00:00,0,0,1,1
2010-12-20,48.0,E,nc,2010-12-20T00:00:00,0,0,1,1
2010-12-21,48.0,E,nc,2010-12-21T00:00:00,0,0,1,1
2010-12-22,50.0,E,nc,2010-12-22T00:00:00,0,0,1,1
2010-12-23,50.0,E,nc,2010-12-23T00:00:00,0,0,1,1
2010-12-24,50.0,E,nc,2010-12-24T00:00:00,0,0,1,1
2010-12-25,52.0,V,nc,2010-12-25T00:00:00,0,0,1,1
