water_year,last_snow
1979,1900-05-22
1980,1900-05-08
1981,1900-05-15
1982,1900-05-26
1983,1900-05-23
1984,1900-05-12
1985,1900-04-18
1986,1900-04-08
1987,1900-04-17
1988,1900-04-17
1989,1900-05-02
1990,1900-04-05
1991,1900-04-28
1992,1900-04-17
1993,1900-05-10
1994,1900-04-19
1995,1900-05-17
1996,1900-05-15
1997,1900-06-05
1998,1900-05-07
1999,1900-05-20
2000,1900-04-30
2001,1900-05-11
2002,1900-05-07
2003,1900-05-11
2004,1900-04-29
2005,1900-04-24
2006,1900-05-12
2007,1900-04-27
2008,1900-05-14
2009,1900-05-17
2010,1900-05-18
2011,1900-05-27
2012,1900-05-14
2013,1900-05-25
2014,1900-05-04
2015,1900-04-15
2016,1900-04-30
2017,1900-05-21
2018,1900-05-08
2019,1900-05-10
2020,1900-04-30
2021,1900-05-03
