water_year,last_snow,DOWY
1982,1982-05-16,227
1983,1983-05-16,227
1984,1984-05-24,236
1985,1985-05-10,221
1986,1986-05-04,215
1987,1987-04-28,209
1988,1988-04-25,207
1989,1989-05-03,214
1990,1990-05-03,214
1991,1991-05-03,214
1992,1992-04-19,201
1993,1993-05-17,228
1994,1994-05-01,212
1995,1995-05-13,224
1996,1996-05-06,218
1997,1997-05-14,225
1998,1998-05-28,239
1999,1999-05-13,224
2000,2000-04-25,207
2001,2001-05-02,213
2002,2002-05-04,215
2003,2003-04-20,201
2004,2004-04-15,197
2005,2005-04-10,191
2006,2006-05-03,214
2007,2007-04-12,193
2008,2008-05-12,224
2009,2009-05-05,216
2010,2010-05-04,215
2011,2011-05-10,221
2012,2012-05-01,213
2013,2013-04-16,197
2014,2014-04-22,203
2015,2015-03-11,161
2016,2016-04-13,195
2017,2017-05-05,216
2018,2018-04-26,207
2019,2019-04-23,204
2020,2020-06-24,267
2021,2021-04-21,202
