water_year,last_snow,DOWY
1980,1980-07-01,274
1984,1984-07-29,302
1985,1985-06-25,267
1986,1986-06-25,267
1987,1987-06-27,269
1988,1988-07-07,280
1989,1989-07-01,273
1990,1990-07-10,282
1991,1991-07-20,292
1992,1992-06-16,259
1993,1993-06-22,264
1994,1994-06-23,265
1995,1995-07-11,283
1996,1996-07-14,287
1997,1997-07-18,290
1998,1998-07-04,276
1999,1999-07-28,300
2000,2000-07-10,283
2001,2001-06-30,272
2002,2002-07-14,286
2003,2003-07-02,274
2004,2004-06-08,251
2005,2005-06-09,251
2006,2006-07-04,276
2007,2007-07-03,275
2008,2008-07-07,280
2009,2009-07-03,275
2010,2010-07-19,291
2011,2011-08-02,305
2012,2012-07-18,291
2013,2013-07-03,275
2014,2014-07-06,278
2015,2015-06-08,250
2016,2016-06-26,269
2017,2017-07-08,280
2018,2018-07-01,273
2019,2019-06-12,254
2020,2020-06-27,270
2021,2021-06-27,269
