datetime,SNOTEL:SNWD_D,qualifiers,censor_code,date_time_utc,method_id,method_code,source_code,quality_control_level_code
2005-08-30,0.0,E,nc,2005-08-30T00:00:00,0,0,1,1
2005-08-31,0.0,E,nc,2005-08-31T00:00:00,0,0,1,1
2005-09-01,0.0,E,nc,2005-09-01T00:00:00,0,0,1,1
2005-09-02,0.0,E,nc,2005-09-02T00:00:00,0,0,1,1
2005-09-03,0.0,E,nc,2005-09-03T00:00:00,0,0,1,1
2005-09-04,0.0,V,nc,2005-09-04T00:00:00,0,0,1,1
2005-09-05,0.0,E,nc,2005-09-05T00:00:00,0,0,1,1
2005-09-06,0.0,E,nc,2005-09-06T00:00:00,0,0,1,1
2005-09-07,0.0,E,nc,2005-09-07T00:00:00,0,0,1,1
2005-09-08,0.0,V,nc,2005-09-08T00:00:00,0,0,1,1
2005-09-09,0.0,E,nc,2005-09-09T00:00:00,0,0,1,1
2005-09-10,0.0,E,nc,2005-09-10T00:00:00,0,0,1,1
2005-09-11,0.0,E,nc,2005-09-11T00:00:00,0,0,1,1
2005-09-12,0.0,V,nc,2005-09-12T00:00:00,0,0,1,1
2005-09-13,0.0,E,nc,2005-09-13T00:00:00,0,0,1,1
2005-09-14,0.0,E,nc,2005-09-14T00:00:00,0,0,1,1
2005-09-15,0.0,V,nc,2005-09-15T00:00:00,0,0,1,1
2005-09-16,0.0,V,nc,2005-09-16T00:00:00,0,0,1,1
2005-09-17,0.0,V,nc,2005-09-17T00:00:00,0,0,1,1
2005-09-18,0.0,E,nc,2005-09-18T00:00:00,0,0,1,1
2005-09-19,0.0,E,nc,2005-09-19T00:00:00,0,0,1,1
2005-09-20,0.0,V,nc,2005-09-20T00:00:00,0,0,1,1
2005-09-21,0.0,V,nc,2005-09-21T00:00:00,0,0,1,1
2005-09-22,0.0,E,nc,2005-09-22T00:00:00,0,0,1,1
2005-09-23,0.0,E,nc,2005-09-23T00:00:00,0,0,1,1
2005-09-24,0.0,E,nc,2005-09-24T00:00:00,0,0,1,1
2005-09-25,0.0,V,nc,2005-09-25T00:00:00,0,0,1,1
2005-09-26,0.0,E,nc,2005-09-26T00:00:00,0,0,1,1
2005-09-27,0.0,E,nc,2005-09-27T00:00:00,0,0,1,1
2005-09-28,0.0,V,nc,2005-09-28T00:00:00,0,0,1,1
2005-09-29,0.0,E,nc,2005-09-29T00:00:00,0,0,1,1
2005-09-30,0.0,E,nc,2005-09-30T00:00:00,0,0,1,1
2005-10-01,0.0,E,nc,2005-10-01T00:00:00,0,0,1,1
2005-10-02,0.0,V,nc,2005-10-02T00:00:00,0,0,1,1
2005-10-03,0.0,E,nc,2005-10-03T00:00:00,0,0,1,1
2005-10-04,0.0,V,nc,2005-10-04T00:00:00,0,0,1,1
2005-10-05,0.0,V,nc,2005-10-05T00:00:00,0,0,1,1
2005-10-06,0.0,V,nc,2005-10-06T00:00:00,0,0,1,1
2005-10-07,0.0,E,nc,2005-10-07T00:00:00,0,0,1,1
2005-10-08,0.0,V,nc,2005-10-08T00:00:00,0,0,1,1
2005-10-09,0.0,E,nc,2005-10-09T00:00:00,0,0,1,1
2005-10-10,0.0,V,nc,2005-10-10T00:00:00,0,0,1,1
2005-10-11,0.0,E,nc,2005-10-11T00:00:00,0,0,1,1
2005-10-12,0.0,V,nc,2005-10-12T00:00:00,0,0,1,1
2005-10-13,0.0,V,nc,2005-10-13T00:00:00,0,0,1,1
2005-10-14,0.0,E,nc,2005-10-14T00:00:00,0,0,1,1
2005-10-15,0.0,E,nc,2005-10-15T00:00:00,0,0,1,1
2005-10-16,0.0,V,nc,2005-10-16T00:00:00,0,0,1,1
2005-10-17,0.0,V,nc,2005-10-17T00:00:00,0,0,1,1
2005-10-18,0.0,V,nc,2005-10-18T00:00:00,0,0,1,1
2005-10-19,0.0,V,nc,2005-10-19T00:00:00,0,0,1,1
2005-10-20,0.0,E,nc,2005-10-20T00:00:00,0,0,1,1
2005-10-21,0.0,E,nc,2005-10-21T00:00:00,0,0,1,1
2005-10-22,0.0,E,nc,2005-10-22T00:00:00,0,0,1,1
2005-10-23,0.0,V,nc,2005-10-23T00:00:00,0,0,1,1
2005-10-24,0.0,V,nc,2005-10-24T00:00:00,0,0,1,1
2005-10-25,0.0,E,nc,2005-10-25T00:00:00,0,0,1,1
2005-10-26,0.0,V,nc,2005-10-26T00:00:00,0,0,1,1
2005-10-27,0.0,E,nc,2005-10-27T00:00:00,0,0,1,1
2005-10-28,0.0,E,nc,2005-10-28T00:00:00,0,0,1,1
2005-10-29,0.0,E,nc,2005-10-29T00:00:00,0,0,1,1
2005-10-30,0.0,E,nc,2005-10-30T00:00:00,0,0,1,1
2005-10-31,0.0,E,nc,2005-10-31T00:00:00,0,0,1,1
2005-11-01,0.0,E,nc,2005-11-01T00:00:00,0,0,1,1
2005-11-02,0.0,E,nc,2005-11-02T00:00:00,0,0,1,1
2005-11-03,0.0,V,nc,2005-11-03T00:00:00,0,0,1,1
2005-11-04,4.0,V,nc,2005-11-04T00:00:00,0,0,1,1
2005-11-05,8.0,V,nc,2005-11-05T00:00:00,0,0,1,1
2005-11-06,8.0,E,nc,2005-11-06T00:00:00,0,0,1,1
2005-11-07,10.0,E,nc,2005-11-07T00:00:00,0,0,1,1
2005-11-08,15.0,V,nc,2005-11-08T00:00:00,0,0,1,1
2005-11-09,14.0,V,nc,2005-11-09T00:00:00,0,0,1,1
