water_year,last_snow,DOWY
1981,1981-04-28,209
1982,1982-05-22,233
1983,1983-05-30,241
1984,1984-05-31,243
1985,1985-05-22,233
1986,1986-05-08,219
1987,1987-04-27,208
1988,1988-05-12,224
1989,1989-05-16,227
1990,1990-04-25,206
1991,1991-05-23,234
1992,1992-05-01,213
1993,1993-05-15,226
1994,1994-04-29,210
1995,1995-05-18,229
1996,1996-04-30,212
1997,1997-05-11,222
1998,1998-05-03,214
1999,1999-06-10,252
2000,2000-05-17,229
2001,2001-05-09,220
2002,2002-05-25,236
2003,2003-05-11,222
2004,2004-05-03,215
2005,2005-04-29,210
2006,2006-05-14,225
2007,2007-05-15,226
2008,2008-06-16,259
2009,2009-05-26,237
2010,2010-05-15,226
2011,2011-06-17,259
2012,2012-05-27,239
2013,2013-05-23,234
2014,2014-05-02,213
2015,2015-04-17,198
2016,2016-05-05,217
2017,2017-05-25,236
2018,2018-05-05,216
2019,2019-05-12,223
2020,2020-05-13,225
2021,2021-05-23,234
