water_year,last_snow,DOWY
1979,1979-05-22,233
1980,1980-05-08,220
1981,1981-05-15,226
1982,1982-05-26,237
1983,1983-05-23,234
1984,1984-05-12,224
1985,1985-04-18,199
1986,1986-04-08,189
1987,1987-04-17,198
1988,1988-04-17,199
1989,1989-05-02,213
1990,1990-04-05,186
1991,1991-04-28,209
1992,1992-04-17,199
1993,1993-05-10,221
1994,1994-04-19,200
1995,1995-05-17,228
1996,1996-05-15,227
1997,1997-06-05,247
1998,1998-05-07,218
1999,1999-05-20,231
2000,2000-04-30,212
2001,2001-05-11,222
2002,2002-05-07,218
2003,2003-05-11,222
2004,2004-04-29,211
2005,2005-04-24,205
2006,2006-05-12,223
2007,2007-04-27,208
2008,2008-05-14,226
2009,2009-05-17,228
2010,2010-05-18,229
2011,2011-05-27,238
2012,2012-05-14,226
2013,2013-05-25,236
2014,2014-05-04,215
2015,2015-04-15,196
2016,2016-04-30,212
2017,2017-05-21,232
2018,2018-05-08,219
2019,2019-05-10,221
2020,2020-04-30,212
2021,2021-05-03,214
